Name,Brand,Gender,Notes
Daim Blond,Serge Lutens Les Salons du Palais Royal Shiseido,Men And Women,Hawthorn / Cardamom/ Iris / Apricot Stone / Pallida/ Musk / Heliotrope / Leather
Chene,Serge Lutens Les Salons du Palais Royal Shiseido,Men And Women,Sap notes / Cedar Crystals / Black Thyme/ Silver Birch / Rum / Beeswax / Oak/ Undergrowth note / Tonka
Chypre Rouge,Serge Lutens Les Salons du Palais Royal Shiseido,Men And Women,Thyme / Pine needles/ Honey / Beeswax / Jasmine/ Patchouli / Vanilla / Moss / Amber / Musks
Santal Majuscule,Serge Lutens Les Salons du Palais Royal Shiseido,Men And Women,Rose/ Tonka Bean / Rosewood/ Sandalwood / Cocoa
Opium,Yves Saint Laurent,Women,Mandarin orange / Bergamot / Lily of the valley/ Jasmine / Carnation / Myrrh/ Vanilla / Patchouli / Opoponaux / Amber
Baby Doll Paris,Yves Saint Laurent,Women,Grapefruit / Redcurrant / Rhubarb/ Rose / Freesia / Spices/ Peach / Grenadine / Cedarwood
Nu Eau de Parfum,Yves Saint Laurent,Women,Bergamot/ White Orchid / Black Pepper/ Incense Absolut / Woody Notes / Spicy Notes / Vetiver
Nu Eau de Toilette,Yves Saint Laurent,Women,Bergamot / Coriander/ White Orchid / Jasmine Absolute/ Incense
Paris Premieres Roses,Yves Saint Laurent,Women,Alba Rose Buds / Orange Blossom / Violet/ Centiflora Rose / Muguet / Jasmine/ Sandalwood / Vetiver / Musk
Body Kouros,Yves Saint Laurent,Men,Incense / Eucalyptus/ Cedarwood from China / Mace/ Camphor wood / Benzoin
Jazz,Yves Saint Laurent,Men,Artemisia / Lavender / Bergamot/ Nutmeg / Geranium / Carnation / Cinnamon/ Sandalwood / Cedarwood / Leather / Amber / Moss
Jazz Prestige,Yves Saint Laurent,Men,Bergamot / Mint/ Geranium / Apple/ Sandalwood
Kouros,Yves Saint Laurent,Men,Clove/ Oakmoss/ Incense
Kouros Fraicheur,Yves Saint Laurent,Men,Bergamot/ Orange Blossom / Pineapple/ Amber / Patchouli / Vetiver
Live Jazz,Yves Saint Laurent,Men,Bitter Lemon Peel / Grapefruit / Iced Mint/ Coriander / Wild Reed / Rhubarb Leaf/ Cedarwood / Ambergris / Hint of Vanilla
Opium pour Homme,Yves Saint Laurent,Men,Star Anise / Blackcurrant/ Chinese Galanga / Szechuan Pepper/ Bourbon Vanilla / Tolu Balm / Atlas Cedar
YSL pour Homme,Yves Saint Laurent,Men,Lemon/ Thyme/ Vetiver
M7,Yves Saint Laurent,Men,Bergamot / Mandarin / Rosemary/ Vetiver / Agarwood/ Amber / Musk / Mandrake root
Kouros Cologne Sport,Yves Saint Laurent,Men,Frozen Cedrat / Bergamot / Tangerine / Citrus Notes/ Jasmine / Cyclamen/ Cedarwood / Ambergris
Rive Gauche pour Homme,Yves Saint Laurent,Men,Bergamot / Star Anise / Rosemary/ Lavender / Geranium Leaves / Cloves/ Vetiver / Gaiac Wood / Patchouli
CinEma,Yves Saint Laurent,Women,Clementine / Almond Blossom / Cyclamen/ Amarillys / Sambac jasmin / Peony/ Amber / White musks / Bourbon vanilla / Benzoin
Opium Fleur de Shanghai,Yves Saint Laurent,Women,Mandarin Orange/ Magnolia / Star Jasmine / Carnation/ Myrrh / Vanilla
Paris Roses EnchantEes,Yves Saint Laurent,Women,Garden Roses / Orange Blossom / Violets/ Apricot Rose / Lilac Rose / Muguet/ White musks / Sandalwood
Paris Roses des Vergers Springtime,Yves Saint Laurent,Women,Cherry Blossom / Cyclamen / Black Currant Leaf/ Pear Blossom / Tender Rose / Wild Rose/ Musks / Sandalwood / Rhodes Wood
Elle,Yves Saint Laurent,Women,Lychee / Citron / Peony/ Jasmin sambac / Pink berries/ Vetiver / Patchouli / Woody Notes
Opium pour Homme PoEsie de Chine Eau d'Orient,Yves Saint Laurent,Men,Grapefruit / Bergamot / Star anise/ Orange blossom / Nutmeg / White pepper/ Vetiver / Sandalwood / Amber
Baby Doll Honeymoon,Yves Saint Laurent,Women,Passion fruit / Redcurrant / Rhubarb/ Passion flower / Jasmine / Wild rose/ Musk / Cedar wood
Parisienne,Yves Saint Laurent,Women,Cranberry / Blackberry/ Damask Rose / Violet / Peony / Leather/ Patchouli / Vetyver / Musk / Sandalwood
Elle Shocking,Yves Saint Laurent,Women,Mandarin / Ginger / Peony / Freesia / Jasmine/ Floral notes / Raspberry/ Musk / Cedar / Patchouli
Parisienne L'Essentiel,Yves Saint Laurent,Women,Vinyl accord / Pink peppercorn / Blackberry/ Damascan rose / Iris / Sambac jasmine/ White leather accord / Tonka bean and musk
L'Homme Libre,Yves Saint Laurent,Men,Calabria Bergamot / Nutmeg / Pink Pepper/ Violet Leaf Accord / Grand Vert Basil / Star Anise/ Indonesia Patchouli / Haiti Vetiver / Leather
M7 Oud Absolu,Yves Saint Laurent,Men,Mandarin Orange / Mineral Notes/ Oud / Patchouli/ Rockrose / Myrrh / Amber Notes
La Nuit de L'Homme Le Parfum,Yves Saint Laurent,Men,Bergamot / Anise / Pepper/ Lavender / Labdanum / Fruity notes/ Vetiver / Patchouli / Vanilla
L'Homme Cologne Gingembre,Yves Saint Laurent,Men,Calabrian bergamot / Ozone aquatic accords/ Chinese ginger / White pepper / Basil/ Cedar / Oak moss / Vetiver / Musk
Opium Vapeurs de Parfum,Yves Saint Laurent,Women,Mandarin / Pink pepper/ Orange blossom / Jasmine/ Incense / Amber / Nutmeg / Vanilla / Woods
Parisienne L'Eau,Yves Saint Laurent,Women,Rose / Green freshness / Vinyl accord/ Red fruits / Cranberry / Blackcurrant/ Patchouli / White cedar / Musk
La Nuit de L'Homme Frozen Cologne,Yves Saint Laurent,Men,Lemon / Mandarin / Bergamot / Frozen Cocktail Accord/ Geranium / Pepper/ Tonka Bean / Cashmere Wood / Vetiver / Cedar / Musk
Paris Premieres Roses 2012,Yves Saint Laurent,Women,Wild rose / Violet / Orange blossom/ Peony / Lily of the valley / May rose/ Sandalwood / White musk
Manifesto,Yves Saint Laurent,Women,Bergamot / Cassis / Green Notes/ Jasmin Sambac / Lily of the Valley/ Sandalwood / Vanilla / Tonka Bean
Elle Edition LimitEe 2012,Yves Saint Laurent,Women,Mandarin / Grapefruit / Peony/ Pink pepper / Raspberry / Sambac jasmine/ Amber / Benzoin / Vetiver
