Name,Brand,Gender,Notes
Escale aux Marquises,Christian Dior,Men And Women,Blood orange / Pink pepper / Cardamom / Pepper / Amalfi lemon / Tiare flower/ Cinnamon / Ginger / Clove / Nutmeg / Coriander / Elemi resin/ Benzoin / Vanilla
Eau Sauvage Extreme (new / Intense),Christian Dior,Men,Sicilian Lemon/ Lavender of Vaucluse/ Virginia Cedar
Miss Dior Eau Fraiche,Christian Dior,Women,Bergamot / Fresh Notes/ Gardenia / Floral Notes/ Patchouli / Sweet Notes
Aqua Fahrenheit,Christian Dior,Men,Citruses / tangerine / Grapefruit/ Violet leaf / basil / Mint/ Vetiver from Haiti / Leather
Dior Addict to Life,Christian Dior,Women,Pomegranate / Raspberry / Peach/ Rose / Jasmine / Lily of the valley/ Cedar / White musk
Eau Sauvage Parfum,Christian Dior,Men,Bergamot/ Myrrh/ Vetiver
Escale a Parati,Christian Dior,Men And Women,Bitter orange / Lemon / Petitgrain/ Rosewood / Mint / Cinnamon / Red berries/ Tonka bean / Woods
Grand Bal,Christian Dior,Women,Bergamot / Jasmine/ Ylang Ylang / Tunisian orange blossom/ New Caledonia sandalwood / Musk
Oud ispahan,Christian Dior,Men And Women,Labdanum/ Indonesian Patchouli/ Laotian Oud Essence / Turkish Rose / Sandalwood
Dior Addict Eau Sensuelle,Christian Dior,Women,Rose/ Jasmine/ Musk / Cedar
Miss Dior Le Parfum,Christian Dior,Women,Mandarin/ Bulgarian rose / Turkish rose/ Patchouli / Amber / Vanilla
Hypnotic Poison Eau Secrete,Christian Dior,Women,Sicilian mandarin / Orange / Calabrian bergamot/ Sambac jasmine / Tunisian neroli/ Vanilla
Miss Dior Eau De Toilette,Christian Dior,Women,Tunisian neroli/ Bulgarian rose / Turkish rose/ Indonesian patchouli
Noir Epices,Editions de Parfums Frederic Malle,Men And Women,Orange / Rose / Geranium/ Nutmeg / Cinnamon / Clove / Pepper/ Patchouli / Cedarwood / Sandalwood
Le Parfum de ThErese,Editions de Parfums Frederic Malle,Women,Mandarin / Melon / Jasmine / Pepper/ Violet / Rose / Plum / Nutmeg/ Cedar / Vetiver / Leather
Iris Poudre,Editions de Parfums Frederic Malle,Men And Women,Bergamot / Orange / Rosewood / Ylang-Ylang / Carnation/ Magnolia / Jasmine / Muguet / Violetta-Rose / Aldehydes/ Iris / Musk / Amber / Vanilla / Sandalwood / Ebony
Musc Ravageur,Editions de Parfums Frederic Malle,Men And Women,Lavender / Bergamot/ Clove / Cinnamon/ Gaiac wood / Cedar / Sandalwood / Vanilla / Tonka / Musk
Lys MEditerranEe,Editions de Parfums Frederic Malle,Men And Women,Ginger Lily / Lily of the Valley (Muguet)/ Angelica Root / Orange Flower / Water Lily/ Musk
Une Fleur de Cassie,Editions de Parfums Frederic Malle,Men And Women,Cassie / Mimosa / Jasmine / Clove / Cumin / Bergamot/ Rose / Violet / Apricot / Aldehyde / Salicylate / / Musk Cetone / Cedarwood / Sandalwood
Dans Tes Bras,Editions de Parfums Frederic Malle,Women,Bergamot / Clove / Violet / Jasmine/ Sandalwood / Patchouli / Incense / Cashmeran/ Heliotrope / White musk
GEranium pour Monsieur,Editions de Parfums Frederic Malle,Men,Mint / Pepper mint / Geranium / Rhodinol / Anethol / Floralzone/ Cinnamon / Clove Oil/ White Musk Cocktail / Ambroxan / Sandalwood / Incense / Syrax
Eau de Givenchy,Givenchy,Women,Bergamot / Spearmint / Fruity notes/ Muguet / Jasmin / Rose / Cyclamen/ Moss / Sandal / Cedar / Musk
Extravagance D'Amarige,Givenchy,Women,Green Mandarin / Tagete / Pink Peppercorn/ Jasmine / Orange Blossom / Violet Leaves/ Sandalwood / Cedarwood / Musk / Ambrox
Givenchy Gentleman,Givenchy,Men,Tarragon / Cinnamon/ Patchouli / Vetiver/ Civet / Russian Leather
InsensE,Givenchy,Men,Blackcurrant / Mandarin / Basil/ Magnolia / Lily of the Valley / Iris / Lentiscus/ Firbalsam
InsensE Ultramarine,Givenchy,Men,Water fruits / Galbanum/ Cardamom / Mint Leaves/ Cedar / Vetiver / Tobacco
Monsieur de Givenchy,Givenchy,Men,Hesperidian Notes/ Lavender / Verbena/ Oakmoss / Sandalwood
Pi,Givenchy,Men,Citrus / Aromatic / Green / Floral/ Magnetic Wood/ Benzoin Crystals
Pi Fraiche,Givenchy,Men,Tangerine / Jasmine / / Amber/ Benzoin / Woody Notes
Xeryus,Givenchy,Men,Grapefruit / Artemisia/ Cypress / Gaiac wood / Chinese Cypriol/ Amber
Xeryus Rouge,Givenchy,Men,Kumquat / Cactus Flesh / Tarragon/ Cedar Leaf / Red Pepper / African Geranium/ Sandalwood / Cedar
Givenchy pour Homme,Givenchy,Men,Cool Grapefruit / Mandarin / Violet/ Lush fruits / Exotic Spices / Floral notes/ Warm woods / Vetiver
Into the Blue,Givenchy,Men And Women,Winter Bergamot / Nettle Flower / / Sweet Pea / White Orchid/ Luminous Woody Base
InsensE Ultramarine Aromatic Ocean - Morning Surf,Givenchy,Men,Citrus/ Cinnamon/ Sandalwood
InsensE Ultramarine Aromatic Ocean - Evening Dream,Givenchy,Men,Citrus/ Cinnamon/ Sandalwood
InsensE Ultramarine Aromatic Ocean - Midnight Swim,Givenchy,Men,Cinnamon/ Cypress/ Sandalwood
Givenchy pour Homme Blue Label,Givenchy,Men,Grapefruit / Hedione / Bergamot/ Cardamom / Davana / Pepper/ Olibanum / Vetiver / Cedar
Eau Torride,Givenchy,Men And Women,Mandarin / Bergamot / Lemon/ Jasmine/ Sandalwood / Bamboo
Ange ou DEmon,Givenchy,Women,White thyme / Mandarin  from Calabria and Essence of Saffron/ Maxillaria orchid / Lily / Ylang ylang/ Tonka bean / Vanilla / Rosewood / Oak wood absolute
Pi Neo,Givenchy,Men,Bergamot / Mandarin/ Myrtle / Cedarwood/ Patchouli
Ange ou DEmon Le Secret,Givenchy,Women,Italian winter lemon / Cranberry / Green tea leaves/ Sambac jasmine / White peony / Water flowers/ Blond woods / Patchouli
Play for Her,Givenchy,Women,Pink peppercorns / White peach / Bergamot / Sweet pea/ Amyris wood / Tiare flower / Magnolia leaf / Magnolia flower/ Sandalwood / Musks
Play Intense for Her,Givenchy,Women,Pink peppercorns / Orange flower/ Amyris wood / Tiare flower / Orchid/ Sandalwood / Patchouli / Tonka bean
Le Bouquet Absolu,Givenchy,Women,Bergamot / Neroli / Wild berries/ Jasmine / Vanilla orchid / Rose/ Musk / Ambergris / Juniper
Dahlia Noir,Givenchy,Women,Pink pepper / Mandarin / Mimosa/ Rose / Iris / Patchouli / Rose/ Sandalwood / Vanilla / Tonka bean
Very IrrEsistible Givenchy Electric Rose,Givenchy,Women,Blueberry / Lemon / Basil / Verbena/ Rose / Anise / Green violet/ Cedar / Musk
Very IrrEsistible L'Intense,Givenchy,Women,Plum/ Turkish Rose/ Patchouli / White Musk
Givenchy Play Sport,Givenchy,Men,Bergamot / Ginger / Mint / Lemon leaf/ Amirys wood / Pepper/ Musk
Ange ou DEmon Tendre,Givenchy,Women,Mandarin / Lily of the Valley / Orange Blossom/ Lily / Peony / Heliotrope/ Rosewood / Patchouli
Very IrrEsistible Tropical Paradise,Givenchy,Women,Anise / Mint/ Passion fruit / Rose/ Sandalwood / Musk
Givenchy Play Summer Vibrations,Givenchy,Men,Coriander leaf / Citrus/ Black pepper / Sea spray accord/ Amyris wood
Dahlia Noir Eau de Toilette,Givenchy,Women,Mandarin / Peach / Lemon/ Rose / Atlas Cedar / Pink pepper/ Vanilla / Tonkin Musk / Ambergris / Sandalwood
Eaudemoiselle de Givenchy Bois de Oud,Givenchy,Women,Mandarin/ Turkish rose / Orange blossom/ Cedar / Olibanum / Amber / Vanilla / Oud
Very IrrEsistible Poesie d'un Parfum d'Hiver,Givenchy,Women,Gingerbread / Honey / Candied orange/ Star anise / Cinnamon / Rose/ Vanilla
Eaudemoiselle de Givenchy Eau Florale,Givenchy,Women,Pear / Pink grapefruit/ Japanese wild rose / Jasmine/ Blonde woods / Musk
Very IrrEsistible Sensual,Givenchy,Women,Peony/ Rose / Star anise/ Patchouli / Vanilla
Gentlemen Only,Givenchy,Men,Birch leaf / Green mandarin / Nutmeg / Pink pepper/ Cedar / Patchouli / Vetiver/ Animalic notes / Frankincense
Dahlia Noir L'Eau,Givenchy,Women,Citrus / Neroli/ Rose/ Patchouli / Cedar / Musk
Bloom,Givenchy,Women,Raspberry / Caviar/ Iris / Violet / Tiare/ Woods / Incense / Musk
Apres L'ondEe,Guerlain,Women,Aniseed / Hesperidic notes / Rose/ Violet / Hawthorn/ Iris root
Mitsouko,Guerlain,Women,Bergamot / Rose/ Jasmin / Spices / Peach/ Oakmoss / Woody notes
L'Heure Bleue,Guerlain,Women,Neroli/ Carnation / Iris/ Vanilla
Liu,Guerlain,Women,Aldehydes / Rose/ Neroli / Jasmine / Rose/ Iris / Woody notes / Vanilla
Vol de Nuit,Guerlain,Women,Hesperedic Notes / Narcissus/ Galbanum / Oakmoss / Green notes/ Wood / Iris / Vanilla / Spices
Shalimar,Guerlain,Women,Bergamot/ Iris / Jasmine / Rose/ Vanilla / Opoponax / Tonka bean
Chant D'Aromes,Guerlain,Women,Hesperidic notes / Honeysuckle/ Gardenia / Jasmine / Ylang-ylang/ Sandalwood / Oakmoss / Vanilla
Chamade,Guerlain,Women,Hyacinth / Jasmine/ Ylang-Ylang / Blackcurrant bud / Galbanum/ Vanilla / Woody notes / Balsamic notes
Parure,Guerlain,Women,Hesperidic notes / Plum/ Rose / Jasmine / Lilac/ Oakmoss / Spices / Wood
NahEma,Guerlain,Women,Rose/ Fruit/ Vanilla / Wood
Samsara,Guerlain,Women,Jasmine / Ylang Ylang/ Jasmine / Sandalwood / Narcissus/ Tonka / Iris / Vanilla
Petit Guerlain,Guerlain,Women,Lavender / Hesperidic Notes/ Mimosa / Jasmine / Rose/ Tonka Bean
Aqua Allegoria Flora Nerolia,Guerlain,Women,Neroli / Petitgrain/ Jasmine / Orange Blossom/ Incense
Metalys / Metallica,Guerlain,Women,Vanilla/ Ylang-Ylang / Orange Blossom / Carnation/ Iris / Tonka Bean
Mayotte / Mahora,Guerlain,Women,Green and Fresh/ Tuberose / Frangipani blossoms / Neroli / Ylang-Ylang / Jasmine/ Vetiver / Vanilla / Sandalwood
Philtre d'Amour,Guerlain,Women,Lemon / Bergamot / Verbana/ Jasmine / Petigrain / Neroli / Myrtle/ Patchouli
Aqua Allegoria Gentiana,Guerlain,Women,Bergamot / Grapefruit / Limette / Lime/ Bitter orange / Gentian / Pear/ Vanilla / Musks
Champs-ElysEes,Guerlain,Women,Mimosa Leaf / Almond Blossom / Rose/ Buddleia / Mimosa Blossom/ Almond Wood / Hibiscus / Hibiscus Seed
Aqua Allegoria Herba Fresca,Guerlain,Men And Women,Clover Leaf / Italian Lemon/ Spearmint / Green Tea/ Lily of the Valley / Cyclamen / Pear Flower
Aqua Allegoria Lavande Velours,Guerlain,Men And Women,Lavender/ Lavender / Violet / Sandalwood/ Woody / Irridescent Lavender
Aqua Allegoria Pamplelune,Guerlain,Men And Women,Acidulous Grapefruit / Bergamot/ Neroli / Petitgrain / Cassis/ Patchouli / Vanilla
Aqua Allegoria Winter Delice,Guerlain,Men And Women,Fir Trees/ Scotch Pine / Balsam/ Somalian Incense / Sugar and Vanilla
Coriolan,Guerlain,Men,Lemon tree leaves / Bergamot/ Juniper / Absinthe / Coriander / Nutmeg / Juniper/ Oakmoss / Patchouli / Everlasting flower
Derby,Guerlain,Men,Bergamot / Lemon / Artemisia / Peppermint/ Pimento / Rose / Pepper / Mace / Jasmin/ Leather / Vetiver / Sandal / Patchouli / Moss
